MoMo凤凰,#genre#
凤凰中文Pdtv,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯Pdtv,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港Pdtv,http://rihou.cc:555/tv/[Pd]凤凰香港

凤凰中文,http://36.24.119.220:4022/udp/233.50.200.191:5140
凤凰资讯,http://36.24.119.220:4022/udp/233.50.200.192:5140

凤凰中文HD,http://182.135.66.163:18888/rtp/239.94.2.51:5140
凤凰中文HD,http://182.135.66.163:18888/rtp/239.94.2.52:5140
凤凰资讯HD,http://182.135.66.163:18888/rtp/239.94.2.49:5140
凤凰资讯HD,http://182.135.66.163:18888/rtp/239.94.2.50:5140
凤凰中文HD,http://182.135.66.163:1888/rtp/239.94.2.51:5140
凤凰中文HD,http://182.135.66.163:1888/rtp/239.94.2.52:5140
凤凰资讯HD,http://182.135.66.163:1888/rtp/239.94.2.49:5140
凤凰资讯HD,http://182.135.66.163:1888/rtp/239.94.2.50:5140

上海电信,#genre#

CCTV4HD,http://116.233.67.80:8899/rtp/233.18.204.70:5140
CCTV5HD,http://116.233.67.80:8899/rtp/233.18.204.71:5140
CCTV8HD,http://116.233.67.80:8899/rtp/233.18.204.74:5140
CCTV12HD,http://116.233.67.80:8899/rtp/233.18.204.78:5140
CCTV4SD,http://218.81.49.34:10010/rtp/233.18.204.23:5140
CCTV5SD,http://218.81.49.34:10010/rtp/233.18.204.24:5140
CCTV8SD,http://218.81.49.34:10010/rtp/233.18.204.27:5140
CCTV12SD,http://218.81.49.34:10010/rtp/233.18.204.31:5140


广东电信,#genre#

CCTV-4中文国际,http://113.65.124.131:9527/udp/239.77.1.163:5146
CCTV-5体育,http://113.65.124.131:9527/udp/239.77.0.170:5146
CCTV-8电视剧,http://113.65.124.131:9527/udp/239.77.0.172:5146
CCTV-12社会与法,http://113.65.124.131:9527/udp/239.77.0.136:5146
CCTV-4中文国际,http://119.131.25.38:9003/udp/239.77.1.163:5146
CCTV-5体育,http://119.131.25.38:9003/udp/239.77.0.170:5146
CCTV-8电视剧,http://119.131.25.38:9003/udp/239.77.0.172:5146
CCTV-12社会与法,http://119.131.25.38:9003/udp/239.77.0.136:5146

湖南电信,#genre#

CCTV-4中文国际,http://175.0.64.97:8888/udp/239.76.253.154:9000
CCTV-5体育,http://175.0.64.97:8888/udp/239.76.253.155:9000
CCTV-5体育,http://175.0.64.97:8888/udp/239.76.254.214:9000
CCTV-8电视剧,http://175.0.64.97:8888/udp/239.76.253.158:9000
CCTV-12社会与法,http://175.0.64.97:8888/udp/239.76.253.162:9000
CCTV-4中文国际,http://175.0.64.97:8888/udp/239.76.246.154:1234
CCTV-4中文国际,http://175.0.64.97:8888/udp/239.76.245.195:1234
CCTV-5体育,http://175.0.64.97:8888/udp/239.76.246.155:1234
CCTV-8电视剧,http://175.0.64.97:8888/udp/239.76.246.158:1234
CCTV-12社会与法,http://175.0.64.97:8888/udp/239.76.246.162:1234


四川电信,#genre#

CCTV4HD,http://182.135.66.163:1888/rtp/239.94.0.4:5140
CCTV5HD,http://182.135.66.163:1888/rtp/239.94.0.33:5140
CCTV5HD,http://182.135.66.163:1888/rtp/239.94.2.30:5140
CCTV5HD,http://182.135.66.163:1888/rtp/239.94.0.5:5140
CCTV8HD,http://182.135.66.163:1888/rtp/239.94.0.8:5140
CCTV8HD,http://182.135.66.163:1888/rtp/239.94.0.35:5140
CCTV8HD,http://182.135.66.163:1888/rtp/239.94.2.29:5140
CCTV12HD,http://182.135.66.163:1888/rtp/239.94.0.12:5140
CCTV4,http://182.135.66.163:1888/rtp/239.94.2.149:5140
CCTV5,http://182.135.66.163:1888/rtp/239.94.2.150:5140
CCTV5+,http://182.135.66.163:1888/rtp/239.94.2.162:5140
CCTV8,http://182.135.66.163:1888/rtp/239.94.2.153:5140
CCTV12,http://182.135.66.163:1888/rtp/239.94.2.157:5140


